Year,Month,YearMonthDate,Airline_Name,Country,Direction,Passengers,Freight_tonnes,Mail_tonnes,Is_Total_AllServices
2025,5,2025-05-01,Qantas Airways,New Zealand,Outbound,67445.0,179.5,264.8,False
2025,5,2025-05-01,Qantas Airways,Palau,Inbound,214.0,,,False
2025,5,2025-05-01,Qantas Airways,Palau,Outbound,229.0,,,False
2025,5,2025-05-01,Qantas Airways,Papua New Guinea,Inbound,3327.0,,,False
2025,5,2025-05-01,Qantas Airways,Papua New Guinea,Outbound,3025.0,1.1,3.0,False
2025,5,2025-05-01,Qantas Airways,Philippines,Inbound,9143.0,292.8,5.0,False
2025,5,2025-05-01,Qantas Airways,Philippines,Outbound,8147.0,14.4,6.8,False
2025,5,2025-05-01,Qantas Airways,Singapore,Inbound,41994.0,1358.7,19.4,False
2025,5,2025-05-01,Qantas Airways,Singapore,Outbound,41881.0,926.7,66.8,False
2025,5,2025-05-01,Qantas Airways,Solomon Islands,Inbound,1030.0,,,False
2025,5,2025-05-01,Qantas Airways,Solomon Islands,Outbound,932.0,0.1,1.6,False
2025,5,2025-05-01,Qantas Airways,South Africa,Inbound,6655.0,90.1,0.2,False
2025,5,2025-05-01,Qantas Airways,South Africa,Outbound,6781.0,2.7,2.2,False
2025,5,2025-05-01,Qantas Airways,Thailand,Inbound,6319.0,267.0,1.7,False
2025,5,2025-05-01,Qantas Airways,Thailand,Outbound,5601.0,24.4,5.1,True
2025,5,2025-05-01,Qantas Airways,Tonga,Inbound,721.0,,,False
2025,5,2025-05-01,Qantas Airways,Tonga,Outbound,985.0,0.4,,True
2025,5,2025-05-01,Qantas Airways,UK,Inbound,10712.0,133.2,34.0,False
2025,5,2025-05-01,Qantas Airways,UK,Outbound,14015.0,3.3,47.5,False
2025,5,2025-05-01,Qantas Airways,USA,Inbound,42746.0,1523.9,18.8,False
2025,5,2025-05-01,Qantas Airways,USA,Outbound,39587.0,177.1,206.1,False
2025,5,2025-05-01,Qantas Airways,Vanuatu,Inbound,1168.0,3.4,0.1,False
2025,5,2025-05-01,Qantas Airways,Vanuatu,Outbound,1066.0,1.8,2.9,False
2025,5,2025-05-01,Qantas Airways,Western Samoa,Inbound,1818.0,,,False
2025,5,2025-05-01,Qantas Airways,Western Samoa,Outbound,1694.0,0.3,0.1,False
2025,5,2025-05-01,Qantas Airways,,Inbound,286281.0,6504.4,136.3,False
2025,5,2025-05-01,Qantas Airways,,Outbound,273058.0,1928.9,735.6,False
2025,5,2025-05-01,Qatar Airways,Qatar,Inbound,49889.0,1440.0,42.5,False
2025,5,2025-05-01,Qatar Airways,Qatar,Outbound,69792.0,1470.7,8.4,False
2025,5,2025-05-01,Royal Brunei Airlines,Brunei,Inbound,2726.0,148.1,0.0,False
2025,5,2025-05-01,Royal Brunei Airlines,Brunei,Outbound,2691.0,241.9,0.5,False
2025,5,2025-05-01,Scoot Tigerair,Singapore,Inbound,45011.0,813.1,23.2,False
2025,5,2025-05-01,Scoot Tigerair,Singapore,Outbound,45552.0,615.9,,False
2025,5,2025-05-01,Sichuan Airlines,China,Inbound,8148.0,280.2,13.1,False
2025,5,2025-05-01,Sichuan Airlines,China,Outbound,9431.0,136.4,,False
2025,5,2025-05-01,Singapore Airlines,New Zealand,Inbound,,122.1,,False
2025,5,2025-05-01,Singapore Airlines,New Zealand,Outbound,,370.1,,False
2025,5,2025-05-01,Singapore Airlines,Singapore,Inbound,151841.0,6674.8,29.1,False
2025,5,2025-05-01,Singapore Airlines,Singapore,Outbound,153925.0,6916.1,,True
2025,5,2025-05-01,Singapore Airlines,USA,Inbound,,1322.8,,False
2025,5,2025-05-01,Singapore Airlines,USA,Outbound,,,,True
2025,5,2025-05-01,Singapore Airlines,,Inbound,151841.0,8119.7,29.1,False
2025,5,2025-05-01,Singapore Airlines,,Outbound,153925.0,7286.3,,False
2025,5,2025-05-01,Solomon Airlines,New Zealand,Inbound,360.0,,,False
2025,5,2025-05-01,Solomon Airlines,New Zealand,Outbound,229.0,0.4,,False
2025,5,2025-05-01,Solomon Airlines,Solomon Islands,Inbound,1245.0,2.3,,False
2025,5,2025-05-01,Solomon Airlines,Solomon Islands,Outbound,1086.0,13.4,,False
2025,5,2025-05-01,Solomon Airlines,Vanuatu,Inbound,337.0,0.5,,False
2025,5,2025-05-01,Solomon Airlines,Vanuatu,Outbound,482.0,6.8,,False
2025,5,2025-05-01,Solomon Airlines,,Inbound,1942.0,2.8,,False
2025,5,2025-05-01,Solomon Airlines,,Outbound,1797.0,20.6,,False
2025,5,2025-05-01,South African Airways,South Africa,Inbound,3608.0,26.0,,False
2025,5,2025-05-01,South African Airways,South Africa,Outbound,3404.0,137.1,,False
2025,5,2025-05-01,SriLankan Airlines,Sri Lanka,Inbound,12641.0,313.1,,False
2025,5,2025-05-01,SriLankan Airlines,Sri Lanka,Outbound,11593.0,372.6,3.8,False
2025,5,2025-05-01,T'way Air,Korea,Inbound,4058.0,155.0,0.8,False
2025,5,2025-05-01,T'way Air,Korea,Outbound,4265.0,56.5,,False
2025,5,2025-05-01,Tasman Cargo Airlines,Hong Kong (SAR),Inbound,,769.4,,True
2025,5,2025-05-01,Tasman Cargo Airlines,Hong Kong (SAR),Outbound,,412.3,,False
2025,5,2025-05-01,Tasman Cargo Airlines,New Zealand,Inbound,,953.7,,True
2025,5,2025-05-01,Tasman Cargo Airlines,New Zealand,Outbound,,1155.2,,False
2025,5,2025-05-01,Tasman Cargo Airlines,,Inbound,,1723.1,,False
2025,5,2025-05-01,Tasman Cargo Airlines,,Outbound,,1567.5,,False
2025,5,2025-05-01,Thai Airways International,Thailand,Inbound,35251.0,1774.6,19.5,False
2025,5,2025-05-01,Thai Airways International,Thailand,Outbound,34700.0,793.3,,False
2025,5,2025-05-01,Tianjin Airlines,China,Inbound,1930.0,93.2,5.9,False
2025,5,2025-05-01,Tianjin Airlines,China,Outbound,2037.0,7.0,,False
2025,5,2025-05-01,TransNusa,Indonesia,Inbound,1493.0,,,False
2025,5,2025-05-01,TransNusa,Indonesia,Outbound,1802.0,,,True
2025,5,2025-05-01,Turkish Airlines,Singapore,Inbound,658.0,0.1,,False
2025,5,2025-05-01,Turkish Airlines,Singapore,Outbound,322.0,,,True
2025,5,2025-05-01,Turkish Airlines,Turkey,Inbound,3789.0,294.8,2.5,False
2025,5,2025-05-01,Turkish Airlines,Turkey,Outbound,6797.0,273.9,,False
2025,5,2025-05-01,Turkish Airlines,,Inbound,4447.0,294.9,2.5,False
2025,5,2025-05-01,Turkish Airlines,,Outbound,7119.0,273.9,,False
2025,5,2025-05-01,United Airlines,USA,Inbound,23519.0,592.6,18.8,False
2025,5,2025-05-01,United Airlines,USA,Outbound,22072.0,875.9,252.6,False
2025,5,2025-05-01,United Parcel Service,China,Inbound,,215.1,,False
2025,5,2025-05-01,United Parcel Service,China,Outbound,,215.7,,False
2025,5,2025-05-01,United Parcel Service,Korea,Inbound,,,,True
2025,5,2025-05-01,United Parcel Service,Korea,Outbound,,80.7,,False
2025,5,2025-05-01,United Parcel Service,Singapore,Inbound,,,,True
2025,5,2025-05-01,United Parcel Service,Singapore,Outbound,,78.7,,False
2025,5,2025-05-01,United Parcel Service,USA,Inbound,,1215.8,,False
2025,5,2025-05-01,United Parcel Service,USA,Outbound,,,,False
2025,5,2025-05-01,United Parcel Service,,Inbound,,1430.9,,False
2025,5,2025-05-01,United Parcel Service,,Outbound,,375.2,,False
2025,5,2025-05-01,Vietjet Air,Vietnam,Inbound,20758.0,559.3,,False
2025,5,2025-05-01,Vietjet Air,Vietnam,Outbound,17052.0,,,False
2025,5,2025-05-01,Vietnam Airlines,Vietnam,Inbound,21527.0,980.7,,False
2025,5,2025-05-01,Vietnam Airlines,Vietnam,Outbound,21261.0,324.1,1.8,False
2025,5,2025-05-01,Virgin Australia,Fiji,Inbound,9842.0,,,False
2025,5,2025-05-01,Virgin Australia,Fiji,Outbound,9904.0,,,False
2025,5,2025-05-01,Virgin Australia,Indonesia,Inbound,21988.0,,,False
2025,5,2025-05-01,Virgin Australia,Indonesia,Outbound,22113.0,,,False
2025,5,2025-05-01,Virgin Australia,New Zealand,Inbound,5298.0,,,True
2025,5,2025-05-01,Virgin Australia,New Zealand,Outbound,4244.0,,,False
2025,5,2025-05-01,Virgin Australia,Vanuatu,Inbound,3359.0,,,True
2025,5,2025-05-01,Virgin Australia,Vanuatu,Outbound,3517.0,,,True
2025,5,2025-05-01,Virgin Australia,Western Samoa,Inbound,494.0,,,False
2025,5,2025-05-01,Virgin Australia,Western Samoa,Outbound,677.0,,,True
2025,5,2025-05-01,Virgin Australia,,Inbound,40981.0,,,False
2025,5,2025-05-01,Virgin Australia,,Outbound,40455.0,,,False
2025,5,2025-05-01,Xiamen Airlines,China,Inbound,12354.0,728.7,1.1,False
2025,5,2025-05-01,Xiamen Airlines,China,Outbound,12574.0,307.4,,False
